&	Copper	Aluminium	Crude Steel	Nickel	Zinc	A
2000	11.90527035	12.88227647	16.3249737	5.964178172	14.94880367	w
2001	14.90979838	14.79618258	19.85942869	7.949482026	17.34996236	e
2002	17.06410621	16.43807823	22.57947763	8.865713351	18.85458602	d
2003	19.40081957	18.66366179	26.60416833	10.92193236	20.66901854
2004	20.93441835	20.2563434	27.62783117	13.24416421	24.92104998
2005	22.38573017	22.30671384	31.80150459	15.88371919	28.51567707
2006	22.57743334	24.60148997	31.18606697	19.99521188	28.42943533
2007	25.72759598	31.72764724	32.93222885	27.77983712	31.7872181
2008	28.79472747	33.44374235	34.48414347	27.67262055	34.10648752
2009	37.62883844	40.30471711	46.49966448	37.27782139	40.46141291
2010	37.62442203	40.65365224	43.34739308	39.43329532	41.14371208
2011	40.43421488	42.86569525	43.72042854	42.9085906	42.87401575
2012	42.42299504	44.84331227	44.24752313	45.13470946	44.0610687
2013	43.87741312	46.72836978	44.92189279	47.54939004	44.82051282
2014	44.76310503	48.49750201	45.07895964	48.54492499	45.34965035
2015	45.43446877	49.88835668	45.26876036	49.84448724	44.83221477
2016	46.28360061	51.04121624	45.26081474	50.52739306	44.38709677
2017	47.17123636	51.75119632	45.17639687	51.01846341	44.01242236
2018	47.83432356	52.63445929	45.08582303	51.93488634	44.01
&title=China share of global demand					
&subtitle=%					
&source=Macquarie.com					
&footnote=A real footnote					
&comment=Line chart					
&doublescale=0					
&accumulate=false					
